Year,Country,Geographical Region,Geographical Group,البلد,المجموعة الجغرافية,المنطقة الجغرافية,Value
2022,TUNISIA,R2-OTHER ARAB COUNTRIES,NORTH AFRICA,تونس,أفريقيا الشمالية,R2-الدول العربية الأخرى,0.0
2022,TÜRKIYE,R3-ASIA,WESTERN ASIA,تركيا,غربي آسيا,R3-آسيا,240.14
2022,TURKS AND CAICOS ISLANDS,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,تركس والكايك,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,1.93
2022,UKRAINE,R5-EUROPE,EASTERN EUROPE,اوكرانيا,أوروبا الشرقية,R5-أوروبا,0.0
2022,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND,R5-EUROPE,NORTHERN EUROPE,المملكة المتحدة,أوروبا الشمالية,R5-أوروبا,20.33
2022,UNITED STATES OF AMERICA,R4-AMERICAS,NORTHERN AMERICA,الولايات المتحدة الامريكية,أمريكا الشمالية,R4-أمريكا,144.67
2022,YEMEN,R2-OTHER ARAB COUNTRIES,WESTERN ASIA,اليمن,غربي آسيا,R2-الدول العربية الأخرى,1.73
2018,ALGERIA,R2-OTHER ARAB COUNTRIES,NORTH AFRICA,الجزائر,أفريقيا الشمالية,R2-الدول العربية الأخرى,0.0
2018,AUSTRIA,R5-EUROPE,WESTERN EUROPE,النمسا,أوروبا الغربية,R5-أوروبا,-0.02
2018,BAHAMAS,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,باهاماس,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,11.37
2018,BARBADOS,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,برباد,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,0.0
2018,BERMUDA,R4-AMERICAS,NORTHERN AMERICA,برمودا,أمريكا الشمالية,R4-أمريكا,-0.85
2018,BRAZIL,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,البرازيل,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,2.18
2018,CAYMAN ISLANDS,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,جزر كيمان,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,644.33
2018,DENMARK,R5-EUROPE,NORTHERN EUROPE,الدنمارك,أوروبا الشمالية,R5-أوروبا,18.69
2018,FINLAND,R5-EUROPE,NORTHERN EUROPE,فنلندا,أوروبا الشمالية,R5-أوروبا,40.66
2018,GREECE,R5-EUROPE,SOUTHERN EUROPE,اليونان,أوروبا الجنوبية,R5-أوروبا,0.3
2018,GUERNSEY,R5-EUROPE,NORTHERN EUROPE,غيرنزي,أوروبا الشمالية,R5-أوروبا,0.0
2018,INDONESIA,R3-ASIA,SOUTH-EASTERN ASIA,اندونسيا,جنوب شرقي آسيا,R3-آسيا,0.0
2018,ISLE OF MAN,R5-EUROPE,NORTHERN EUROPE,جزيرة مان,غربي آسيا,R3-آسيا,1.21
2018,ITALY,R5-EUROPE,SOUTHERN EUROPE,ايطاليا,أوروبا الجنوبية,R5-أوروبا,0.34
2018,JAPAN,R3-ASIA,EASTERN ASIA,اليابان,شرقي آسيا,R3-آسيا,148.54
2018,LEBANON,R2-OTHER ARAB COUNTRIES,WESTERN ASIA,لبنان,غربي آسيا,R2-الدول العربية الأخرى,12.44
2018,LIBYA,R2-OTHER ARAB COUNTRIES,NORTH AFRICA,ليبيا,أفريقيا الشمالية,R2-الدول العربية الأخرى,1124.18
2018,LIECHTENSTEIN,R5-EUROPE,WESTERN EUROPE,ليختنشتاين,أوروبا الغربية,R5-أوروبا,0.0
2018,MALAYSIA,R3-ASIA,SOUTH-EASTERN ASIA,ماليزيا,جنوب شرقي آسيا,R3-آسيا,-0.48
2018,MALTA,R5-EUROPE,SOUTHERN EUROPE,مالطا,أوروبا الجنوبية,R5-أوروبا,
2018,MARSHALL ISLANDS,R7-OCEANIA,MICRONESIA,جزر المارشال,ميكرونيزيا,R7-أوقيانيسيا,30.09
2018,NEPAL,R3-ASIA,SOUTHERN ASIA,نيبال,جنوب آسيا,R3-آسيا,0.0
2018,NETHERLANDS,R5-EUROPE,WESTERN EUROPE,هولندا,أوروبا الغربية,R5-أوروبا,-15.47
2018,NEW ZEALAND,R7-OCEANIA,AUSTRALIA AND NEW ZEALAND,نيوزليندا,أستراليا ونيوزيلندا,R7-أوقيانيسيا,1.01
2018,NIGERIA,R6-AFRICA,SUB-SAHARAN AFRICA,نيجيريا,أفريقيا جنوب الصحراء الكبرى,R6-أفريقيا,0.0
2018,NORWAY,R5-EUROPE,NORTHERN EUROPE,النرويج,أوروبا الشمالية,R5-أوروبا,5.87
2018,QATAR,R1-GCC,COUNTRIES OF ARABIAN GULF,دولة قطر,دول الخليج العربي,R1-دول مجلس التعاون الخليجي,311.13
2018,ROMANIA,R5-EUROPE,EASTERN EUROPE,رومانيا,أوروبا الشرقية,R5-أوروبا,0.0
2018,SEYCHELLES,R6-AFRICA,SUB-SAHARAN AFRICA,سيشل,أفريقيا جنوب الصحراء الكبرى,R6-أفريقيا,0.0
2018,SOUTH KOREA,R3-ASIA,EASTERN ASIA,كوريا الجنوبية,شرقي آسيا,R3-آسيا,10.94
2018,SWITZERLAND,R5-EUROPE,WESTERN EUROPE,سويسرا,أوروبا الغربية,R5-أوروبا,-30.54
2018,SYRIA,R2-OTHER ARAB COUNTRIES,WESTERN ASIA,سوريا,غربي آسيا,R2-الدول العربية الأخرى,0.38
2018,"TAIWAN, PROVINCE OF CHINA",R3-ASIA,EASTERN ASIA,مقاطعة تايوان الصينية,شرقي آسيا,R3-آسيا,2.42
2018,THAILAND,R3-ASIA,SOUTH-EASTERN ASIA,تايلاند,جنوب شرقي آسيا,R3-آسيا,0.0
2018,TUNISIA,R2-OTHER ARAB COUNTRIES,NORTH AFRICA,تونس,أفريقيا الشمالية,R2-الدول العربية الأخرى,-0.05
2018,UNITED KINGDOM,R5-EUROPE,NORTHERN EUROPE,المملكة المتحدة,أوروبا الشمالية,R5-أوروبا,298.88
2018,UNITED STATES OF AMERICA,R4-AMERICAS,NORTHERN AMERICA,الولايات المتحدة الامريكية,أمريكا الشمالية,R4-أمريكا,122.83
2018,UZBEKISTAN,R3-ASIA,CENTRAL ASIA,اوزبكستان,دول آسيا الوسطى,R3-آسيا,0.0
2019,AUSTRIA,R5-EUROPE,WESTERN EUROPE,النمسا,أوروبا الغربية,R5-أوروبا,-0.02
2019,AZERBAIJAN,R3-ASIA,WESTERN ASIA,اذربيدجان,غربي آسيا,R3-آسيا,0.0
2019,BANGLADESH,R3-ASIA,SOUTHERN ASIA,بنغلاديش,جنوب آسيا,R3-آسيا,0.5
2019,BARBADOS,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,برباد,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,0.0
2019,BELIZE,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,بليز,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,
2019,CANADA,R4-AMERICAS,NORTHERN AMERICA,كندا,أمريكا الشمالية,R4-أمريكا,2.4
2019,CHILE,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,تشيلي,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,0.0
2019,COMOROS,R2-OTHER ARAB COUNTRIES,SUB-SAHARAN AFRICA,جزر القمر,أفريقيا جنوب الصحراء الكبرى,R2-الدول العربية الأخرى,0.21
2019,CYPRUS,R3-ASIA,WESTERN ASIA,قبرص,غربي آسيا,R3-آسيا,13.95
2019,FRANCE,R5-EUROPE,WESTERN EUROPE,فرنسا,أوروبا الغربية,R5-أوروبا,-135.7
2019,GHANA,R6-AFRICA,SUB-SAHARAN AFRICA,غانا,أفريقيا جنوب الصحراء الكبرى,R6-أفريقيا,0.0
2019,GUERNSEY,R5-EUROPE,NORTHERN EUROPE,غيرنزي,أوروبا الشمالية,R5-أوروبا,0.0
2019,INDONESIA,R3-ASIA,SOUTH-EASTERN ASIA,اندونسيا,جنوب شرقي آسيا,R3-آسيا,0.0
2019,JAPAN,R3-ASIA,EASTERN ASIA,اليابان,شرقي آسيا,R3-آسيا,139.18
2019,JORDAN,R2-OTHER ARAB COUNTRIES,WESTERN ASIA,الاردن,غربي آسيا,R2-الدول العربية الأخرى,1.07
2019,KAZAKHSTAN,R3-ASIA,CENTRAL ASIA,كازخستان,دول آسيا الوسطى,R3-آسيا,0.0
2019,LUXEMBOURG,R5-EUROPE,WESTERN EUROPE,لوكسمبورغ,أوروبا الغربية,R5-أوروبا,3.32
2019,MEXICO,R4-AMERICAS,LATIN AMERICA AND THE CARIBBEAN,المكسيك,أمريكا اللاتينية ومنطقة البحر الكاريبي,R4-أمريكا,0.0
2019,MOZAMBIQUE,R6-AFRICA,SUB-SAHARAN AFRICA,موزمبيق,أفريقيا جنوب الصحراء الكبرى,R6-أفريقيا,0.0
2019,NEPAL,R3-ASIA,SOUTHERN ASIA,نيبال,جنوب آسيا,R3-آسيا,0.0
